mid_lat,mid_lon,bearing_deg
54.7375,-5.7135,109.1
54.738,-5.717,90.0
54.738,-5.7185,90.0
54.738,-5.7195,90.0
54.7385,-5.72,0.0
54.739,-5.7205,90.0
54.739,-5.7225,90.0
54.7395,-5.724,0.0
54.74,-5.7235,90.0
54.74,-5.7225,90.0
54.7405,-5.722,0.0
54.741,-5.7215,90.0
54.7415,-5.721,0.0
54.742,-5.7205,90.0
54.742,-5.7185,90.0
54.7425,-5.718,0.0
54.743,-5.7175,90.0
54.7435,-5.717,0.0
54.744,-5.7165,90.0
54.744,-5.7155,90.0
54.744,-5.7145,90.0
54.7445,-5.7135,30.0
54.745,-5.7125,90.0
54.745,-5.7115,90.0
54.7455,-5.711,0.0
54.746,-5.7105,90.0
54.7465,-5.71,0.0
54.7475,-5.71,0.0
54.748,-5.7095,90.0
54.7485,-5.709,0.0
54.7495,-5.709,0.0
54.7505,-5.709,0.0
54.7515,-5.709,0.0
54.752,-5.7085,90.0
54.7525,-5.708,0.0
54.753,-5.7075,90.0
54.7535,-5.707,0.0
54.754,-5.7065,90.0
54.7545,-5.706,0.0
54.755,-5.7055,90.0
54.7555,-5.705,0.0
54.756,-5.7045,90.0
54.7555,-5.704,0.0
54.755,-5.7035,90.0
54.755,-5.7025,90.0
54.7555,-5.702,0.0
54.7565,-5.702,0.0
54.757,-5.7025,90.0
54.7575,-5.703,0.0
54.758,-5.7025,90.0
54.7585,-5.702,0.0
54.759,-5.7015,90.0
54.7595,-5.7005,30.0
54.76,-5.6995,90.0
54.76,-5.6985,90.0
54.7605,-5.698,0.0
54.761,-5.6975,90.0
54.7615,-5.697,0.0
54.762,-5.6965,90.0
54.7625,-5.696,0.0
54.763,-5.6955,90.0
54.7635,-5.695,0.0
54.764,-5.6945,90.0
54.7645,-5.694,0.0
54.765,-5.6935,90.0
54.765,-5.6925,90.0
54.7655,-5.692,0.0
54.766,-5.6915,90.0
54.766,-5.6905,90.0
54.767,-5.6895,90.0
54.767,-5.6885,90.0
54.7675,-5.688,0.0
54.768,-5.6885,90.0
54.768,-5.6895,90.0
54.7685,-5.69,0.0
54.769,-5.6905,90.0
54.7695,-5.691,0.0
54.7705,-5.691,0.0
54.771,-5.6925,90.0
54.7715,-5.693,0.0
54.772,-5.6935,90.0
